Record_number,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
748,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1521. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1521,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1521,0068-0735-1521,,PILLSTROM L G,1,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING; SAME JAR AS 1522,,,,,,,,,,,02/14/1953,,45,45,1953,2,14,14-Feb-53,,,,,,,,| USA | ARKANSAS | FRANKLIN |  |  |  |,North America,,,,United States,US,Arkansas,Franklin,,4 MI NE OF CASS,USA | ARKANSAS | FRANKLIN | 4 MI NE OF CASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
749,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1523. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1523,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1523,0068-0735-1523,,DOWLING FIELD PARTY,1,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,07/14/1953,,195,195,1953,7,14,14-Jul-53,,,,,,,,| USA | ARKANSAS | RANDOLPH |  |  |  |,North America,,,,United States,US,Arkansas,Randolph,,"BLACK RIVER, VICINITY OF POCOHONTAS","USA | ARKANSAS | RANDOLPH | BLACK RIVER, VICINITY OF POCOHONTAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
750,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1526. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1526,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1526,0068-0735-1526,,MCCLEIDEM,1,,,,,,present,alcoholic,,,,,,,DRIED; 1525-1528 IN SAME JAR,,,,,,,,,,,03/16/1934,,75,75,1934,3,16,16-Mar-34,,,,,,,,| USA | Arkansas | Washington |  |  |  |,North America,,,,United States,US,Arkansas,Washington,,SOUTH OF FAYETTEVILLE NEAR SPOKE FACTORY,USA | ARKANSAS | WASHINGTON | SOUTH OF FAYETTEVILLE NEAR SPOKE FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
751,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1527. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1527,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1527,0068-0735-1527,,MORTON L,1,,,,,,present,alcoholic,,,,,,,FAIR CONDITION AS OF ACCESSIONING; 1525-1528 IN SAME JAR,,,,,,,,,,,05/06/1938,,126,126,1938,5,6,06-May-38,,,,,,,,| USA | Arkansas | Washington |  |  |  |,North America,,,,United States,US,Arkansas,Washington,,WINSLOW,USA | ARKANSAS | WASHINGTON | WINSLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
752,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1528. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1528,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1528,0068-0735-1528,,BLACK J D,1,,,,,,present,alcoholic,,,,,,,FAIR CONDITION AS OF ACCESSIONING; 1525-1528 IN SAME JAR,,,,,,,,,,,07/15/1935,,196,196,1935,7,15,15-Jul-35,,,,,,,,| USA | Arkansas | Washington |  |  |  |,North America,,,,United States,US,Arkansas,Washington,,1 MI NORTH OF WINSLOW,USA | ARKANSAS | WASHINGTON | 1 MI NORTH OF WINSLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
753,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1529. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1529,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1529,0068-0735-1529,,U OF A HERPETOLOGY CLASS,5,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,04/02/1953,,92,92,1953,4,2,02-Apr-53,,,,,,,,| USA | ARKANSAS | HEMPSTEAD |  |  |  |,North America,,,,United States,US,Arkansas,Hempstead,,EAST SIDE OF GRASSY LAKE,USA | ARKANSAS | HEMPSTEAD | EAST SIDE OF GRASSY LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
754,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1532. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1532,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1532,0068-0735-1532,,U OF A NATURAL HISTORY CLASS,1,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING; APR 06=1530-1533 IN SAME JAR,,,,,,,,,,,03/08/1955,,67,67,1955,3,8,08-Mar-55,,,,,,,,| USA | Arkansas | Washington |  |  |  |,North America,,,,United States,US,Arkansas,Washington,,WHITE RIVER 7.8 MI EAST OF SPRINGDALE,USA | ARKANSAS | WASHINGTON | WHITE RIVER 7.8 MI EAST OF SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
755,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1533. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1533,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1533,0068-0735-1533,,U OF A NATURAL HISTORY CLASS,1,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING; APR 06=1530-1533 IN SAME JAR,,,,,,,,,,,03/08/1955,,67,67,1955,3,8,08-Mar-55,,,,,,,,| USA | Arkansas | Washington |  |  |  |,North America,,,,United States,US,Arkansas,Washington,,WHITE RIVER 7.8 MI EAST OF SPRINGDALE,USA | ARKANSAS | WASHINGTON | WHITE RIVER 7.8 MI EAST OF SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
756,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1535. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1535,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1535,0068-0735-1535,,DOWLING FIELD PARTY,2,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,07/13/1953,,194,194,1953,7,13,13-Jul-53,,,,,,,,| USA | ARKANSAS | FULTON |  |  |  |,North America,,,,United States,US,Arkansas,Fulton,,SPRING RIVER FISH HATCHERY MAMMOTH SPRINGS,USA | ARKANSAS | FULTON | SPRING RIVER FISH HATCHERY MAMMOTH SPRINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
757,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1547. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1547,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1547,0068-0735-1547,,HULSEY A H,2,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,12/26/1950,,360,360,1950,12,26,26-Dec-50,,,,,,,,| USA | ARKANSAS | MONTGOMERY |  |  |  |,North America,,,,United States,US,Arkansas,Montgomery,,QUACHITA RIVER SOUTH OF  HARK,USA | ARKANSAS | MONTGOMERY | QUACHITA RIVER SOUTH OF  HARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
758,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1548. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1548,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1548,0068-0735-1548,,HOLDER T,6,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,09/01/1939,,244,244,1939,9,1,01-Sep-39,,,,,,,,| USA | ARKANSAS | MONTGOMERY |  |  |  |,North America,,,,United States,US,Arkansas,Montgomery,,1/2 MI SE PINE RIDGE FISHING LODGE,USA | ARKANSAS | MONTGOMERY | 1/2 MI SE PINE RIDGE FISHING LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
759,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1550. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1550,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1550,0068-0735-1550,,HOLDER T,1,,,,,,present,alcoholic,,,,,,,FAIR CONDITION AS OF ACCESSIONING,,,,,,,,,,,09/02/1939,,245,245,1939,9,2,02-Sep-39,,,,,,,,| USA | ARKANSAS | MONTGOMERY |  |  |  |,North America,,,,United States,US,Arkansas,Montgomery,,"1/2 MI SOUTH OF ODEN, QUACHITA RIVER","USA | ARKANSAS | MONTGOMERY | 1/2 MI SOUTH OF ODEN, QUACHITA RIVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
760,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1551. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1551,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1551,0068-0735-1551,,DOWLING FIELD PARTY,4,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,09/02/1939,,245,245,1939,9,2,02-Sep-39,,,,,,,,| USA | ARKANSAS | FULTON |  |  |  |,North America,,,,United States,US,Arkansas,Fulton,,"1.4 MI WEST SADDLE, SOUTH FORK SPRING RIVER","USA | ARKANSAS | FULTON | 1.4 MI WEST SADDLE, SOUTH FORK SPRING RIVER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
761,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1552. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1552,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1552,0068-0735-1552,,,1,,,,,,present,alcoholic,,,,,,,FAIR CONDITION AS OF ACCESSIONING,,,,,,,,,,,08/11/1932,,224,224,1932,8,11,11-Aug-32,,,,,,,,| USA | ARKANSAS | WHITE |  |  |  |,North America,,,,United States,US,Arkansas,White,,"GIN CREEK, SEARCY","USA | ARKANSAS | WHITE | GIN CREEK, SEARCY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
762,PhysicalObject,04/08/2015,CC0,,http://vertnet.org/resources/norms.html,University of Arkansas Collections Facility. UAFMC Herps. Record ID: urn:catalog:UAFMC:Herps:0068-0735-1553. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),http://portal.vertnet.org/o/uafmc/herps?id=urn-catalog-uafmc-herps-0068-0735-1553,,,,UAFMC,Herps,,PreservedSpecimen,,,,urn:catalog:UAFMC:Herps:0068-0735-1553,0068-0735-1553,,DIENER R,10,,,,,,present,alcoholic,,,,,,,GOOD CONDITION AS OF ACCESSIONING,,,,,,,,,,,08/30/1955,,242,242,1955,8,30,30-Aug-55,,,,,,,,| USA | Iowa | Lee |  |  |  |,North America,,,,United States,US,Iowa,Lee,,"STATE HWY 16, 0.9 MI WEST JUNCTION US HWY 61","USA | IOWA | LEE | STATE HWY 16, 0.9 MI WEST JUNCTION US HWY 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithobates catesbeianus,,,,,ANURA | RANIDAE | LITHOBATES,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,,catesbeianus,,species,,,AMERICAN BULLFROG,ICZN,,,,,,,,,,,University of Arkansas Collections Facility. UAFMC Herps. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=uafmc_herps (source published on 2015-05-12),9dc5adb8-b4c0-4642-b1ed-b7c5b0a8c552,9a367b8c-22dd-402d-9161-d3c64c6d6a94,nmccartn@uark.edu,Nancy McCartney,05/12/2015,08/12/2016,04/08/2015,0,1,0,0,specimen,0
